title;text_cleaning;title_preprocessing;target_class
Dementia Præcox and Paraphrenia;dementia præcox paraphrenia;['dementia', 'præcox', 'paraphrenia'];general
Democracy in America;democracy america;['democracy', 'america'];general
Demons;demon;['demon'];general
Deng Xiaoping and the Transformation of China;deng xiaoping transformation china;['deng', 'xiaoping', 'transformation', 'china'];general
Desert Solitaire;desert solitaire;['desert', 'solitaire'];general
Destined for War;destined war;['destined', 'war'];social-humanaria
Destiny of the Republic;destiny republic;['destiny', 'republic'];general
Deviate;deviate;['deviate'];sains-tech
Devil's Bargain;devil bargain;['devil', 'bargain'];general
Diagnostic and Statistical Manual of Mental Disorders;diagnostic statistical manual mental disorder;['diagnostic', 'statistical', 'manual', 'mental', 'disorder'];sains-tech
Diaspora;diaspora;['diaspora'];general
Dice Man;dice man;['dice', 'man'];general
Die Trying;die trying;['die', 'trying'];general
Diet for a Small Planet;diet small planet;['diet', 'small', 'planet'];general
Differential Forms in Algebraic Topology;differential form algebraic topology;['differential', 'form', 'algebraic', 'topology'];sains-tech
Differential Topology;differential topology;['differential', 'topology'];sains-tech
Dig Safe;dig safe;['dig', 'safe'];general
Dinosaur Training Secrets: Volume I;dinosaur training secret volume;['dinosaur', 'training', 'secret', 'volume'];general
Dinosaur Training Secrets: Volume II;dinosaur training secret volume ii;['dinosaur', 'training', 'secret', 'volume', 'ii'];general
Diocletian and the Roman Recovery;diocletian roman recovery;['diocletian', 'roman', 'recovery'];general
Direct Truth;direct truth;['direct', 'truth'];general
Dirt;dirt;['dirt'];general
Dirt and Disease;dirt disease;['dirt', 'disease'];sains-tech
Dirty Plotte;dirty plotte;['dirty', 'plotte'];general
Discourses on Livy;discourse livy;['discourse', 'livy'];general
Discover Your Inner Economist;discover inner economist;['discover', 'inner', 'economist'];general
Discover the Power Within You;discover power within;['discover', 'power', 'within'];general
Discovering Your Personality Type;discovering personality type;['discovering', 'personality', 'type'];sains-tech
Distress;distress;['distress'];general
Dog Man;dog man;['dog', 'man'];general
Doing Good Better;good better;['good', 'better'];general
Don Quixote;quixote;['quixote'];general
Don't Count on It!;dont count;['dont', 'count'];general
Don't Make Me Think;dont make think;['dont', 'make', 'think'];general
Don't Shoot the Dog!;dont shoot dog;['dont', 'shoot', 'dog'];general
Doubt;doubt;['doubt'];general
Dracula;dracula;['dracula'];general
Draft No. 4;draft;['draft'];general
Drawing Life;drawing life;['drawing', 'life'];general
Drawing on the Right Side of the Brain;drawing right side brain;['drawing', 'right', 'side', 'brain'];general
Dream Big;dream big;['dream', 'big'];general
Dream Yoga;dream yoga;['dream', 'yoga'];general
Dreaming Yourself Awake;dreaming awake;['dreaming', 'awake'];general
Dreamstate;dreamstate;['dreamstate'];general
Drive;drive;['drive'];general
Dropping Ashes on the Buddha;dropping ash buddha;['dropping', 'ash', 'buddha'];general
Drowning Ruth;drowning ruth;['drowning', 'ruth'];general
Drunk Tank Pink;drunk tank pink;['drunk', 'tank', 'pink'];sains-tech
Dune;dune;['dune'];general
Dune Messiah;dune messiah;['dune', 'messiah'];general
Early Middle English Literature;early middle english literature;['early', 'middle', 'english', 'literature'];social-humanaria
Earth Abides;earth abides;['earth', 'abides'];sains-tech
Earth in Human Hands;earth human hand;['earth', 'human', 'hand'];sains-tech
Earthseed;earthseed;['earthseed'];sains-tech
East of Eden;east eden;['east', 'eden'];general
Easy Riders Raging Bulls;easy rider raging bull;['easy', 'rider', 'raging', 'bull'];general
Eat Pray Love;eat pray love;['eat', 'pray', 'love'];general
Eat the Rich;eat rich;['eat', 'rich'];general
Eating the Big Fish;eating big fish;['eating', 'big', 'fish'];general
Echo Burning;echo burning;['echo', 'burning'];general
Economics in One Lesson;economics one lesson;['economics', 'one', 'lesson'];social-humanaria
Edison;edison;['edison'];general
Educated;educated;['educated'];general
Educational Economics;educational economics;['educational', 'economics'];social-humanaria
Ego Is the Enemy;ego enemy;['ego', 'enemy'];general
Eichmann in Jerusalem;eichmann jerusalem;['eichmann', 'jerusalem'];social-humanaria
Einstein;einstein;['einstein'];general
Einstein's Dreams;einstein dream;['einstein', 'dream'];general
Einstein's Mistakes;einstein mistake;['einstein', 'mistake'];sains-tech
Eisenhower in War and Peace;eisenhower war peace;['eisenhower', 'war', 'peace'];social-humanaria
Elements;element;['element'];general
Elements of Information Theory;element information theory;['element', 'information', 'theory'];general
Elements of the Theory of Computation;element theory computation;['element', 'theory', 'computation'];sains-tech
Eleven Minutes;eleven minute;['eleven', 'minute'];general
Ellen Foster;ellen foster;['ellen', 'foster'];general
Elon Musk;elon musk;['elon', 'musk'];general
Emergence;emergence;['emergence'];sains-tech
Emergency;emergency;['emergency'];general
Emma;emma;['emma'];general
Emotional Equations;emotional equation;['emotional', 'equation'];general
Emotional Intelligence;emotional intelligence;['emotional', 'intelligence'];general
Empire of the Summer Moon;empire summer moon;['empire', 'summer', 'moon'];general
Encounters with the Archdruid;encounter archdruid;['encounter', 'archdruid'];general
Encyclopedia of Physics;encyclopedia physic;['encyclopedia', 'physic'];sains-tech
Ender's Game;enders game;['enders', 'game'];general
Ending Aging;ending aging;['ending', 'aging'];sains-tech
Endurance;endurance;['endurance'];general
Enemies, A Love Story;enemy love story;['enemy', 'love', 'story'];general
Energies;energy;['energy'];sains-tech
Energy;energy;['energy'];sains-tech
Energy Myths and Realities;energy myth reality;['energy', 'myth', 'reality'];sains-tech
Energy Transitions;energy transition;['energy', 'transition'];general
Energy and Civilization;energy civilization;['energy', 'civilization'];general
Energy at the Crossroads;energy crossroad;['energy', 'crossroad'];sains-tech
Enlightenment Now;enlightenment;['enlightenment'];sains-tech
Enough;enough;['enough'];general
Enriching the Earth;enriching earth;['enriching', 'earth'];sains-tech
Epic Measures;epic measure;['epic', 'measure'];general
Eradication;eradication;['eradication'];sains-tech
Essays After Eighty;essay eighty;['essay', 'eighty'];general
Essays and Aphorisms;essay aphorism;['essay', 'aphorism'];general
Essays in Persuasion;essay persuasion;['essay', 'persuasion'];general
Essential Bukowski;essential bukowski;['essential', 'bukowski'];general
Essential Cuisine;essential cuisine;['essential', 'cuisine'];general
Essential Enneagram;essential enneagram;['essential', 'enneagram'];sains-tech
Essentialism;essentialism;['essentialism'];general
Essentials of Classic Italian Cooking;essential classic italian cooking;['essential', 'classic', 'italian', 'cooking'];general
Ethan Frome;ethan frome;['ethan', 'frome'];general
Euclid's Elements;euclid element;['euclid', 'element'];general
Evenings and Avenues;evening avenue;['evening', 'avenue'];general
Ever the Diplomat;ever diplomat;['ever', 'diplomat'];general
Everyday Heroes;everyday hero;['everyday', 'hero'];general
Everyday Indonesian;everyday indonesian;['everyday', 'indonesian'];general
Everyday Millionaires;everyday millionaire;['everyday', 'millionaire'];general
Everything Bad is Good for You;everything bad good;['everything', 'bad', 'good'];sains-tech
Everything Happens for a Reason;everything happens reason;['everything', 'happens', 'reason'];general
Evicted;evicted;['evicted'];general
Excellent Sheep;excellent sheep;['excellent', 'sheep'];sains-tech
Excession;excession;['excession'];general
Excursion to Hell;excursion hell;['excursion', 'hell'];general
Exhalation;exhalation;['exhalation'];general
Existence;existence;['existence'];sains-tech
Exodus;exodus;['exodus'];general
Expert Political Judgment;expert political judgment;['expert', 'political', 'judgment'];social-humanaria
Extreme Ownership;extreme ownership;['extreme', 'ownership'];general
Eyes on the Street;eye street;['eye', 'street'];general
Fables;fable;['fable'];general
Face to Face;face face;['face', 'face'];general
Facing Love Addiction;facing love addiction;['facing', 'love', 'addiction'];general
Factfulness;factfulness;['factfulness'];general
Facts and Fallacies of Software Engineering;fact fallacy software engineering;['fact', 'fallacy', 'software', 'engineering'];sains-tech
Fahrenheit 451;fahrenheit;['fahrenheit'];general
Faith;faith;['faith'];general
Fall On Your Knees;fall knee;['fall', 'knee'];general
Fall of Constantinople;fall constantinople;['fall', 'constantinople'];general
"Fall; or, Dodge in Hell";fall dodge hell;['fall', 'dodge', 'hell'];general
Fallen Leaves;fallen leaf;['fallen', 'leaf'];general
Falling into Grace;falling grace;['falling', 'grace'];general
Family Healing;family healing;['family', 'healing'];sains-tech
Fantasyland;fantasyland;['fantasyland'];general
Faraday, Maxwell, and the Electromagnetic Field;faraday maxwell electromagnetic field;['faraday', 'maxwell', 'electromagnetic', 'field'];general
Fast Food Nation;fast food nation;['fast', 'food', 'nation'];general
Fate Is the Hunter;fate hunter;['fate', 'hunter'];general
Father to Son;father son;['father', 'son'];general
Fauna & Family;fauna family;['fauna', 'family'];general
Fear and Loathing in Las Vegas;fear loathing la vega;['fear', 'loathing', 'la', 'vega'];general
Federal Taxation in America;federal taxation america;['federal', 'taxation', 'america'];general
Feel Free;feel free;['feel', 'free'];general
Feminism Is for Everybody;feminism everybody;['feminism', 'everybody'];general
Feminist Theory;feminist theory;['feminist', 'theory'];general
Feynman Lectures on Computation;feynman lecture computation;['feynman', 'lecture', 'computation'];sains-tech
Fiasco;fiasco;['fiasco'];general
Ficciones;ficciones;['ficciones'];general
Field Gray;field gray;['field', 'gray'];general
Fields of Fire;field fire;['field', 'fire'];general
Fierce Femmes and Notorious Liars;fierce femmes notorious liar;['fierce', 'femmes', 'notorious', 'liar'];general
Fierce Invalids Home From Hot Climates;fierce invalid home hot climate;['fierce', 'invalid', 'home', 'hot', 'climate'];sains-tech
Fifty Shades of Chicken;fifty shade chicken;['fifty', 'shade', 'chicken'];general
Fifty Shades of Grey;fifty shade grey;['fifty', 'shade', 'grey'];general
Fight Club;fight club;['fight', 'club'];general
Fighting for Your Marriage;fighting marriage;['fighting', 'marriage'];general
Finding the Next Steve Jobs;finding next steve job;['finding', 'next', 'steve', 'job'];general
Fingerprints of the Gods;fingerprint god;['fingerprint', 'god'];general
Finite and Infinite Games;finite infinite game;['finite', 'infinite', 'game'];general
First A Dream;first dream;['first', 'dream'];general
Fishbone;fishbone;['fishbone'];general
Fishes of the World;fish world;['fish', 'world'];general
Florida;florida;['florida'];general
Flowers for Algernon;flower algernon;['flower', 'algernon'];general
Flu;flu;['flu'];general
Flying Start;flying start;['flying', 'start'];social-humanaria
Focus;focus;['focus'];general
Food of the Gods;food god;['food', 'god'];general
Fooled by Randomness;fooled randomness;['fooled', 'randomness'];general
For Whom the Bell Tolls;bell toll;['bell', 'toll'];general
For the Love of Physics;love physic;['love', 'physic'];sains-tech
Forest Bathing;forest bathing;['forest', 'bathing'];general
Forgive and Remember;forgive remember;['forgive', 'remember'];sains-tech
Forgotten Highlander;forgotten highlander;['forgotten', 'highlander'];general
Fortunate Son;fortunate son;['fortunate', 'son'];general
Forward the Foundation;forward foundation;['forward', 'foundation'];social-humanaria
Foucault's Pendulum;foucault pendulum;['foucault', 'pendulum'];general
Foundation;foundation;['foundation'];general
Foundation and Earth;foundation earth;['foundation', 'earth'];sains-tech
Foundation and Empire;foundation empire;['foundation', 'empire'];general
Foundation's Edge;foundation edge;['foundation', 'edge'];general
Foundations of Tibetan Mysticism;foundation tibetan mysticism;['foundation', 'tibetan', 'mysticism'];general
Founders at Work;founder work;['founder', 'work'];general
Four Hours in My Lai;four hour lai;['four', 'hour', 'lai'];general
Fragments;fragment;['fragment'];general
Frames of Mind;frame mind;['frame', 'mind'];general
Francis Crick;francis crick;['francis', 'crick'];general
Frank Stewart's Bridge Club;frank stewart bridge club;['frank', 'stewart', 'bridge', 'club'];social-humanaria
Fratricides;fratricide;['fratricide'];general
Freakonomics;freakonomics;['freakonomics'];general
Frederick Douglass;frederick douglas;['frederick', 'douglas'];general
Free Will;free;['free'];sains-tech
Free to Choose;free choose;['free', 'choose'];general
Free-Range Kids;freerange kid;['freerange', 'kid'];general
Freedom;freedom;['freedom'];general
Freedom from the Known;freedom known;['freedom', 'known'];general
