title;text_cleaning;category;target_class
Everyday Millionaires;everyday millionaire;Business & Economics;general
Everything Bad is Good for You;everything bad good;Psychology;general
Everything Happens for a Reason;everything happens reason;Biography & Autobiography;general
Evicted;evicted;Social Science;general
Excellent Sheep;excellent sheep;Education;general
Excession;excession;Fiction;general
Excursion to Hell;excursion hell;Falkland Islands War, 1982;general
Exhalation;exhalation;Fiction;general
Existence;existence;Medical;general
Exodus;exodus;Fiction;general
Expert Political Judgment;expert political judgment;Political Science;social-humanaria
Extreme Ownership;extreme ownership;Business & Economics;general
Eyes on the Street;eye street;City planners;general
Fables;fable;no_category;general
Face to Face;face face;Business & Economics;general
Facing Love Addiction;facing love addiction;Self-Help;general
Factfulness;factfulness;Business & Economics;general
Facts and Fallacies of Software Engineering;fact fallacy software engineering;Computers;sains-tech
Fahrenheit 451;fahrenheit;Fiction;general
Faith;faith;Buddhists;general
Fall On Your Knees;fall knee;Fiction;general
Fall of Constantinople;fall constantinople;History;general
"Fall; or, Dodge in Hell";fall dodge hell;Fiction;general
Fallen Leaves;fallen leaf;History;general
Falling into Grace;falling grace;Body, Mind & Spirit;general
Family Healing;family healing;Psychology;general
Fantasyland;fantasyland;History;general
Faraday, Maxwell, and the Electromagnetic Field;faraday maxwell electromagnetic field;no_category;general
Fast Food Nation;fast food nation;Business & Economics;general
Fate Is the Hunter;fate hunter;Biography & Autobiography;general
Father to Son;father son;Family & Relationships;general
Fauna & Family;fauna family;no_category;general
Fear and Loathing in Las Vegas;fear loathing la vega;Biography & Autobiography;general
Federal Taxation in America;federal taxation america;Business & Economics;general
Feel Free;feel free;Literary Collections;general
Feminism Is for Everybody;feminism everybody;Social Science;general
Feminist Theory;feminist theory;African American women;general
Feynman Lectures on Computation;feynman lecture computation;Computers;sains-tech
Fiasco;fiasco;Business & Economics;general
Ficciones;ficciones;Argentine fiction;general
Field Gray;field gray;Fiction;general
Fields of Fire;field fire;Fiction;general
Fierce Femmes and Notorious Liars;fierce femmes notorious liar;Fiction;general
Fierce Invalids Home From Hot Climates;fierce invalid home hot climate;Fiction;sains-tech
Fifty Shades of Chicken;fifty shade chicken;Cooking;general
Fifty Shades of Grey;fifty shade grey;Fiction;general
Fight Club;fight club;Fiction;general
Fighting for Your Marriage;fighting marriage;Family & Relationships;general
Finding the Next Steve Jobs;finding next steve job;Biography & Autobiography;general
Fingerprints of the Gods;fingerprint god;History;general
Finite and Infinite Games;finite infinite game;Philosophy;general
First A Dream;first dream;Biography & Autobiography;general
Fishbone;fishbone;Fishbone [musical group];general
Fishes of the World;fish world;Nature;general
Florida;florida;Florida;general
Flowers for Algernon;flower algernon;Fiction;general
Flu;flu;History;general
Flying Start;flying start;History;social-humanaria
Focus;focus;Business & Economics;general
Food of the Gods;food god;Religion;general
Fooled by Randomness;fooled randomness;Business & Economics;general
For Whom the Bell Tolls;bell toll;Fiction;general
For the Love of Physics;love physic;Biography & Autobiography;sains-tech
Forest Bathing;forest bathing;Self-Help;general
Forgive and Remember;forgive remember;Medical;general
Forgotten Highlander;forgotten highlander;History;general
Fortunate Son;fortunate son;Biography & Autobiography;general
Forward the Foundation;forward foundation;Fiction;social-humanaria
Foucault's Pendulum;foucault pendulum;Fiction;general
Foundation;foundation;Archives;general
Foundation and Earth;foundation earth;Fiction;sains-tech
Foundation and Empire;foundation empire;Fiction;general
Foundation's Edge;foundation edge;Fiction;general
Foundations of Tibetan Mysticism;foundation tibetan mysticism;Body, Mind & Spirit;general
Founders at Work;founder work;Business & Economics;general
Four Hours in My Lai;four hour lai;Mỹ Lại Massacre, Vietnam, 1968;general
Fragments;fragment;Aphorisms and apothegms;general
Frames of Mind;frame mind;Education;general
Francis Crick;francis crick;Biography & Autobiography;general
Frank Stewart's Bridge Club;frank stewart bridge club;Games & Activities;social-humanaria
Fratricides;fratricide;Greece;general
Freakonomics;freakonomics;Business & Economics;general
Frederick Douglass;frederick douglas;Biography & Autobiography;general
Free Will;free;Science;general
Free to Choose;free choose;Business & Economics;general
Free-Range Kids;freerange kid;Family & Relationships;general
Freedom;freedom;Literary Collections;general
Freedom from the Known;freedom known;Religion;general
Friday Black;friday black;Fiction;general
Friday Night Lights;friday night light;Sports & Recreation;general
From Bacteria to Bach and Back;bacteria bach back;Philosophy;general
From Chocolate to Morphine;chocolate morphine;Health & Fitness;general
From Simi Valley to Silicon Valley;simi valley silicon valley;Self-Help;general
Fundamentals of Modern Physics;fundamental modern physic;Science;sains-tech
Furious Love;furious love;Biography & Autobiography;general
Future Shock;future shock;Social Science;general
Futureface;futureface;Biography & Autobiography;general
Fuzzy Thinking;fuzzy thinking;Technology & Engineering;general
Gaia;gaia;no_category;general
Gandhi;gandhi;Religion;general
Gang Leader for a Day;gang leader day;Biography & Autobiography;general
Gap Creek;gap creek;Fiction;general
Garden Cities of To-Morrow;garden city tomorrow;Science;general
Gates;gate;Biography & Autobiography;general
Gates of Fire;gate fire;Fiction;general
Gathering Moss;gathering moss;Nature;general
Gauge Theories Of Strong, Weak, And Electromagnetic Interactions;gauge theory strong weak electromagnetic interaction;Science;general
Gazelles, Baby Steps & 37 Other Things;gazelle baby step thing;Business & Economics;general
Geek in Japan;geek japan;Travel;general
General Relativity for Mathematicians;general relativity mathematician;Mathematics;sains-tech
Generating Inequality;generating inequality;no_category;general
Generation X;generation x;Fiction;general
Generations;generation;History;general
Genghis Khan and the Making of the Modern World;genghis khan making modern world;History;general
Genius;genius;Psychology;general
Genome;genome;Science;general
George's Marvelous Medicine;george marvelous medicine;Juvenile Fiction;general
Get Back in the Box;get back box;Business & Economics;general
Get What You Deserve!;get deserve;Self-Help;general
Getting Better;getting better;Business & Economics;general
Getting Everything You Can Out of All You've Got;getting everything youve got;Business & Economics;general
Getting Past No;getting past;Business & Economics;general
Getting Things Done;getting thing done;Business & Economics;general
Getting To Maybe;getting maybe;Study Aids;general
Getting the Love You Want;getting love want;Family & Relationships;general
Getting to Yes;getting yes;Business & Economics;general
Ghosts of Manila;ghost manila;Biography & Autobiography;general
Girl in Landscape;girl landscape;Fiction;general
Give People Money;give people money;Political Science;social-humanaria
Give Smart;give smart;Business & Economics;social-humanaria
Give War a Chance;give war chance;Persian Gulf War, 1991;social-humanaria
Give and Take;give take;Business & Economics;general
Glass;glass;Technology & Engineering;general
Global Catastrophes and Trends;global catastrophe trend;Science;general
Global Health;global health;Medical;sains-tech
Global Warming;global warming;Science;social-humanaria
Go To;go;Computer programmers;general
Go the F**k to Sleep;go fk sleep;Humor;general
God Emperor of Dune;god emperor dune;Fiction;general
God Is Not Great;god great;Religion;general
God's Debris;god debris;Religion;general
Going Clear;going clear;no_category;general
Going Red;going red;Political Science;general
Golden Gates;golden gate;Social Science;general
Gone Tomorrow;gone tomorrow;Reacher, Jack (Fictitious character);general
Good Calories, Bad Calories;good calorie bad calorie;Health & Fitness;general
Good Hope Road;good hope road;Poetry;general
Good Night, Little Bear;good night little bear;no_category;general
Good to Great;good great;Business & Economics;general
Goodnight Moon;goodnight moon;Bedtime;general
Googled;googled;Business & Economics;general
Governing the Commons;governing common;Business & Economics;general
Grand Design;grand design;Aerial photography in geography;social-humanaria
Grand Unified Theories;grand unified theory;Science;general
Gratitude;gratitude;Biography & Autobiography;general
Gravitation;gravitation;Science;general
Great Expectations;great expectation;no_category;general
Great Short Poems;great short poem;Poetry;general
Greeks Bearing Gifts;greek bearing gift;Fiction;general
Green Hills of Africa;green hill africa;Biography & Autobiography;general
Grimble;grimble;Juvenile Fiction;general
Grit;grit;Self-Help;general
Growth;growth;Political Science;general
Growth of the Soil;growth soil;Fiction;general
Guerilla Marketing;guerilla marketing;Business & Economics;social-humanaria
Gulliver's Travels;gulliver travel;no_category;general
Gun, with Occasional Music;gun occasional music;Fiction;general
Guns, Germs, and Steel;gun germ steel;History;general
Guns, Sails, and Empires;gun sail empire;Europe;general
Gödel, Escher, Bach;gödel escher bach;Art and music;general
Hackers;hacker;Computers;general
Hackers & Painters;hacker painter;Computers;general
Hacks;hack;Political Science;general
Hagakure;hagakure;Fiction;general
Hal Moore on Leadership;hal moore leadership;Command of troops;general
Half the Sky;half sky;Political Science;general
Hallucinogenic Plants;hallucinogenic plant;Hallucinogenic plants;general
Hamlet;hamlet;Literary Collections;general
Handbook of the Navigator;handbook navigator;Body, Mind & Spirit;general
Hannah Versus the Tree;hannah versus tree;Fiction;general
Hansel and Gretel;hansel gretel;Children's stories;general
Happiness;happiness;Self-Help;general
Happy City;happy city;Political Science;general
Happy Money;happy money;Business & Economics;social-humanaria
Hard Drive;hard drive;Business & Economics;general
Hard Landing;hard landing;Business & Economics;general
Hard-Boiled Wonderland and the End of the World;hardboiled wonderland end world;Fiction;general
Hard-Core;hardcore;Biography & Autobiography;general
Harriet the Spy;harriet spy;Juvenile Fiction;general
Harry Potter;harry potter;Juvenile Fiction;general
Harvesting the Biosphere;harvesting biosphere;Nature;general
